"EventID","Name","Description","Date","Location"
1,"Winter Wonderland","Join us to celebrate 2014 in a garden of organic splendor! This event will focus on seasonal treats made with health in mind!","2014-01-01 18:00:00","Landon Hotel"
2,"Winter Wonderland","Join us to celebrate 2015 in a garden of organic splendor! This event will focus on seasonal treats made with health in mind!","2015-01-01 18:00:00","Landon Hotel"
3,"Winter Wonderland","Join us to celebrate 2016 in a garden of organic splendor! This event will focus on seasonal treats made with health in mind!","2016-01-01 18:00:00","Landon Hotel"
4,"Winter Wonderland","Join us to celebrate 2017 in a garden of organic splendor! This event will focus on seasonal treats made with health in mind!","2017-01-01 18:00:00","Landon Hotel"
5,"Winter Wonderland","Join us to celebrate 2018 in a garden of organic splendor! This event will focus on seasonal treats made with health in mind!","2018-01-01 18:00:00","Landon Hotel"
6,"Winter Wonderland","Join us to celebrate 2019 in a garden of organic splendor! This event will focus on seasonal treats made with health in mind!","2019-01-01 18:00:00","Landon Hotel"
7,"Swing into Spring","Swing into Spring with your favorite springtime dishes! Fresh produce and delectable deserts will be featured during this vegan-friendly soiree!","2019-04-01 12:00:00","The Kale Grotto"
8,"Summer's Here","Join us by the pool at the Landon Hotel San Francisco to celebrate the arrival of the warm(er) season! You bring the sunscreen, we'll bring the barbecued tofu!","2019-06-25 11:00:00","Rooftop Pool"
9,"Eating Healthy at School","Apples and Peanut butter? Yes! Get the school year started off right with our healthy cooking class for kids. Schoolgoers will learn how to pack a balanced and healthy lunch that's ...","2019-09-01 09:00:00","Teaching Kitchen"
10,"Eating Healthy at School","Celery can be a great snack! Get the school year started off right with our healthy cooking class for kids. Schoolgoers will learn how to pack a balanced and healthy lunch that's ...","2019-09-08 09:00:00","Teaching Kitchen"
11,"Eating Healthy at School","Cheese and whole wheat crackers are an easy snack! Get the school year started off right with our healthy cooking class for kids. Schoolgoers will learn how to pack a balanced and healthy lunch that's ...","2019-09-15 09:00:00","Teaching Kitchen"
12,"Eating Healthy at School","Make your own guacamole with just a few ingredients! Get the school year started off right with our healthy cooking class for kids. Schoolgoers will learn how to pack a balanced and healthy lunch that's ...","2019-09-22 09:00:00","Teaching Kitchen"
13,"Eating Healthy at School","Raisins and nuts are an easy and healthy snack. Get the school year started off right with our healthy cooking class for kids. Schoolgoers will learn how to pack a balanced and healthy lunch that's ...","2019-09-29 09:00:00","Teaching Kitchen"
14,"Eating Healthy at School","Did someone say Durian? Get the school year started off right with our healthy cooking class for kids. Schoolgoers will learn how to pack a balanced and healthy lunch that's ...","2019-10-06 09:00:00","Teaching Kitchen"
15,"Fall Ball","Why should winter get all the fancy ballroom dancing? Join us this autumn for a black-tie affair amongst the (organic) pumpkins!","2019-10-31 17:00:00","Rick's Organic Pumpkin Farm"
